"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2008,17075469000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2009,16558762000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2010,18790814000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2011,22693643074," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2012,22749277000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2013,25091892000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2014,26375870000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2015,27366846000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AG","Agricultural products","WL","World","UC","US dollar at current prices",2016,29583411000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1980,1922503334," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1981,1973646692," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1982,1816440271," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1983,1839701859," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1984,1923193636," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1985,1606130439," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1986,2938722000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1987,2689425738," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1988,2830657587," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1989,2829197465," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1990,3056626000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","AGFO"," Food","WL","World","UC","US dollar at current prices",1991,3415459000," ","Coverage: Includes processing zones" 
